256;3.91;Joules;power/energy-pkg/;2.40%;166712286;100.00;;
512;32.34;Joules;power/energy-pkg/;2.37%;1089688022;100.00;;
768;103.43;Joules;power/energy-pkg/;4.71%;4539014171;100.00;;
1024;186.59;Joules;power/energy-pkg/;4.95%;8485668759;100.00;;
